"EMAIL","PRENOM","NOM","SMS","ENTREPRISE","SECTEUR","VILLE","ADRESSE","TELEPHONE","SITE_WEB","NOTE_GOOGLE","NB_AVIS","AVIS_SANS_REPONSE","EMAIL_OBJET","EMAIL_CORPS","RELANCE_1_OBJET","RELANCE_1_CORPS","RELANCE_2_OBJET","RELANCE_2_CORPS"
"valérie.simon@électricitévalérie.fr","Valérie","Simon","+33631214939","Électricité Valérie","Artisanat","Bruxelles","195 rue de la Paix 52850 Bruxelles","+33527517287","","3.6","4084","3144","Valérie, 87 avis attendent votre réponse","Valérie,\n\nVotre établissement Électricité Valérie a 4084 avis Google et 3144 sont restés sans réponse.\n\nChaque avis ignoré coûte des clients à votre établissement.\n\nReplyShield répond automatiquement à chaque avis en 30 secondes.\n\nEssai gratuit 14 jours :\nhttps://replyshield.io/essai-gratuit\n\nManus de ReplyShield","Juste un rappel, Valérie 👋","Valérie, avez-vous eu le temps de regarder ?\nEssai gratuit : https://replyshield.io/essai-gratuit","Dernier message, promis.","Je ferme votre dossier demain Valérie. Offre toujours disponible : https://replyshield.io/essai-gratuit"
"jean.garcia@cabinetjean.fr","Jean","Garcia","+33646325962","Cabinet Jean","Santé","Montpellier","158 rue de la Paix 76749 Montpellier","+33277690414","https://www.cabinetjean.fr","4.2","3486","2509","Jean, 73 avis attendent votre réponse","Jean,\n\nVotre établissement Cabinet Jean a 3486 avis Google et 2509 sont restés sans réponse.\n\nChaque avis ignoré coûte des clients à votre établissement.\n\nReplyShield répond automatiquement à chaque avis en 30 secondes.\n\nEssai gratuit 14 jours :\nhttps://replyshield.io/essai-gratuit\n\nManus de ReplyShield","Juste un rappel, Jean 👋","Jean, avez-vous eu le temps de regarder ?\nEssai gratuit : https://replyshield.io/essai-gratuit","Dernier message, promis.","Je ferme votre dossier demain Jean. Offre toujours disponible : https://replyshield.io/essai-gratuit"
"claire.michel@épicerieclaire.fr","Claire","Michel","+33614903537","Épicerie Claire","Commerce","Genève","37 rue de la Paix 32794 Genève","+33480013031","https://www.épicerieclaire.fr","4.1","1861","1302","Claire, 77 avis attendent votre réponse","Claire,\n\nVotre établissement Épicerie Claire a 1861 avis Google et 1302 sont restés sans réponse.\n\nChaque avis ignoré coûte des clients à votre établissement.\n\nReplyShield répond automatiquement à chaque avis en 30 secondes.\n\nEssai gratuit 14 jours :\nhttps://replyshield.io/essai-gratuit\n\nManus de ReplyShield","Juste un rappel, Claire 👋","Claire, avez-vous eu le temps de regarder ?\nEssai gratuit : https://replyshield.io/essai-gratuit","Dernier message, promis.","Je ferme votre dossier demain Claire. Offre toujours disponible : https://replyshield.io/essai-gratuit"
"jean.bernard@zenjean.fr","Jean","Bernard","+33690730009","Zen Jean","Beauté","Lyon","147 rue de la Paix 81217 Lyon","+33492494424","","3.6","4494","3954","Jean, 90 avis attendent votre réponse","Jean,\n\nVotre établissement Zen Jean a 4494 avis Google et 3954 sont restés sans réponse.\n\nChaque avis ignoré coûte des clients à votre établissement.\n\nReplyShield répond automatiquement à chaque avis en 30 secondes.\n\nEssai gratuit 14 jours :\nhttps://replyshield.io/essai-gratuit\n\nManus de ReplyShield","Juste un rappel, Jean 👋","Jean, avez-vous eu le temps de regarder ?\nEssai gratuit : https://replyshield.io/essai-gratuit","Dernier message, promis.","Je ferme votre dossier demain Jean. Offre toujours disponible : https://replyshield.io/essai-gratuit"
"nicolas.dubois@drnicolasdubois.fr","Nicolas","Dubois","+33692169320","Dr. Nicolas Dubois","Santé","Toulouse","94 rue de la Paix 23180 Toulouse","+33132257060","","3.6","1429","971","Nicolas, 60 avis attendent votre réponse","Nicolas,\n\nVotre établissement Dr. Nicolas Dubois a 1429 avis Google et 971 sont restés sans réponse.\n\nChaque avis ignoré coûte des clients à votre établissement.\n\nReplyShield répond automatiquement à chaque avis en 30 secondes.\n\nEssai gratuit 14 jours :\nhttps://replyshield.io/essai-gratuit\n\nManus de ReplyShield","Juste un rappel, Nicolas 👋","Nicolas, avez-vous eu le temps de regarder ?\nEssai gratuit : https://replyshield.io/essai-gratuit","Dernier message, promis.","Je ferme votre dossier demain Nicolas. Offre toujours disponible : https://replyshield.io/essai-gratuit"
"david.david@magasindavid.fr","David","David","+33694857830","Magasin David","Commerce","Lyon","166 rue de la Paix 25240 Lyon","+33373966779","https://www.magasindavid.fr","4.5","2199","2067","David, 68 avis attendent votre réponse","David,\n\nVotre établissement Magasin David a 2199 avis Google et 2067 sont restés sans réponse.\n\nChaque avis ignoré coûte des clients à votre établissement.\n\nReplyShield répond automatiquement à chaque avis en 30 secondes.\n\nEssai gratuit 14 jours :\nhttps://replyshield.io/essai-gratuit\n\nManus de ReplyShield","Juste un rappel, David 👋","David, avez-vous eu le temps de regarder ?\nEssai gratuit : https://replyshield.io/essai-gratuit","Dernier message, promis.","Je ferme votre dossier demain David. Offre toujours disponible : https://replyshield.io/essai-gratuit"
"françois.fournier@boutiquefrançois.fr","François","Fournier","+33660281646","Boutique François","Commerce","Grenoble","25 rue de la Paix 89801 Grenoble","+33336954742","https://www.boutiquefrançois.fr","4.5","4218","3627","François, 82 avis attendent votre réponse","François,\n\nVotre établissement Boutique François a 4218 avis Google et 3627 sont restés sans réponse.\n\nChaque avis ignoré coûte des clients à votre établissement.\n\nReplyShield répond automatiquement à chaque avis en 30 secondes.\n\nEssai gratuit 14 jours :\nhttps://replyshield.io/essai-gratuit\n\nManus de ReplyShield","Juste un rappel, François 👋","François, avez-vous eu le temps de regarder ?\nEssai gratuit : https://replyshield.io/essai-gratuit","Dernier message, promis.","Je ferme votre dossier demain François. Offre toujours disponible : https://replyshield.io/essai-gratuit"
"sylvie.bertrand@latabledesylvie.fr","Sylvie","Bertrand","+33612295784","La Table de Sylvie","Restauration","Genève","127 rue de la Paix 83728 Genève","+33156253998","https://www.latabledesylvie.fr","4.0","1329","797","Sylvie, 55 avis attendent votre réponse","Sylvie,\n\nVotre établissement La Table de Sylvie a 1329 avis Google et 797 sont restés sans réponse.\n\nChaque avis ignoré coûte des clients à votre établissement.\n\nReplyShield répond automatiquement à chaque avis en 30 secondes.\n\nEssai gratuit 14 jours :\nhttps://replyshield.io/essai-gratuit\n\nManus de ReplyShield","Juste un rappel, Sylvie 👋","Sylvie, avez-vous eu le temps de regarder ?\nEssai gratuit : https://replyshield.io/essai-gratuit","Dernier message, promis.","Je ferme votre dossier demain Sylvie. Offre toujours disponible : https://replyshield.io/essai-gratuit"
"claire.simon@lecomptoirclaire.fr","Claire","Simon","+33679267062","Le Comptoir Claire","Restauration","Nice","173 rue de la Paix 89452 Nice","+33227379197","https://www.lecomptoirclaire.fr","4.4","1700","1207","Claire, 83 avis attendent votre réponse","Claire,\n\nVotre établissement Le Comptoir Claire a 1700 avis Google et 1207 sont restés sans réponse.\n\nChaque avis ignoré coûte des clients à votre établissement.\n\nReplyShield répond automatiquement à chaque avis en 30 secondes.\n\nEssai gratuit 14 jours :\nhttps://replyshield.io/essai-gratuit\n\nManus de ReplyShield","Juste un rappel, Claire 👋","Claire, avez-vous eu le temps de regarder ?\nEssai gratuit : https://replyshield.io/essai-gratuit","Dernier message, promis.","Je ferme votre dossier demain Claire. Offre toujours disponible : https://replyshield.io/essai-gratuit"
"isabelle.petit@coiffureisabelle.fr","Isabelle","Petit","+33669310984","Coiffure Isabelle","Beauté","Grenoble","51 rue de la Paix 25692 Grenoble","+33413032084","https://www.coiffureisabelle.fr","3.8","4708","3483","Isabelle, 56 avis attendent votre réponse","Isabelle,\n\nVotre établissement Coiffure Isabelle a 4708 avis Google et 3483 sont restés sans réponse.\n\nChaque avis ignoré coûte des clients à votre établissement.\n\nReplyShield répond automatiquement à chaque avis en 30 secondes.\n\nEssai gratuit 14 jours :\nhttps://replyshield.io/essai-gratuit\n\nManus de ReplyShield","Juste un rappel, Isabelle 👋","Isabelle, avez-vous eu le temps de regarder ?\nEssai gratuit : https://replyshield.io/essai-gratuit","Dernier message, promis.","Je ferme votre dossier demain Isabelle. Offre toujours disponible : https://replyshield.io/essai-gratuit"
"marie.dubois@dentistemarie.fr","Marie","Dubois","+33651966770","Dentiste Marie","Santé","Marseille","49 rue de la Paix 70254 Marseille","+33326983782","https://www.dentistemarie.fr","3.9","3091","2658","Marie, 57 avis attendent votre réponse","Marie,\n\nVotre établissement Dentiste Marie a 3091 avis Google et 2658 sont restés sans réponse.\n\nChaque avis ignoré coûte des clients à votre établissement.\n\nReplyShield répond automatiquement à chaque avis en 30 secondes.\n\nEssai gratuit 14 jours :\nhttps://replyshield.io/essai-gratuit\n\nManus de ReplyShield","Juste un rappel, Marie 👋","Marie, avez-vous eu le temps de regarder ?\nEssai gratuit : https://replyshield.io/essai-gratuit","Dernier message, promis.","Je ferme votre dossier demain Marie. Offre toujours disponible : https://replyshield.io/essai-gratuit"
"sophie.robert@aubergesophie.fr","Sophie","Robert","+33622456209","Auberge Sophie","Hôtellerie","Grenoble","110 rue de la Paix 28348 Grenoble","+33585007683","https://www.aubergesophie.fr","4.3","1415","962","Sophie, 63 avis attendent votre réponse","Sophie,\n\nVotre établissement Auberge Sophie a 1415 avis Google et 962 sont restés sans réponse.\n\nChaque avis ignoré coûte des clients à votre établissement.\n\nReplyShield répond automatiquement à chaque avis en 30 secondes.\n\nEssai gratuit 14 jours :\nhttps://replyshield.io/essai-gratuit\n\nManus de ReplyShield","Juste un rappel, Sophie 👋","Sophie, avez-vous eu le temps de regarder ?\nEssai gratuit : https://replyshield.io/essai-gratuit","Dernier message, promis.","Je ferme votre dossier demain Sophie. Offre toujours disponible : https://replyshield.io/essai-gratuit"
"david.garcia@lecomptoirdavid.fr","David","Garcia","+33664480584","Le Comptoir David","Restauration","Genève","108 rue de la Paix 64519 Genève","+33229507899","https://www.lecomptoirdavid.fr","3.6","1142","959","David, 85 avis attendent votre réponse","David,\n\nVotre établissement Le Comptoir David a 1142 avis Google et 959 sont restés sans réponse.\n\nChaque avis ignoré coûte des clients à votre établissement.\n\nReplyShield répond automatiquement à chaque avis en 30 secondes.\n\nEssai gratuit 14 jours :\nhttps://replyshield.io/essai-gratuit\n\nManus de ReplyShield","Juste un rappel, David 👋","David, avez-vous eu le temps de regarder ?\nEssai gratuit : https://replyshield.io/essai-gratuit","Dernier message, promis.","Je ferme votre dossier demain David. Offre toujours disponible : https://replyshield.io/essai-gratuit"
"aurélie.david@centremédicalaurélie.fr","Aurélie","David","+33624393578","Centre Médical Aurélie","Santé","Grenoble","36 rue de la Paix 65603 Grenoble","+33526057107","https://www.centremédicalaurélie.fr","4.4","4218","3500","Aurélie, 78 avis attendent votre réponse","Aurélie,\n\nVotre établissement Centre Médical Aurélie a 4218 avis Google et 3500 sont restés sans réponse.\n\nChaque avis ignoré coûte des clients à votre établissement.\n\nReplyShield répond automatiquement à chaque avis en 30 secondes.\n\nEssai gratuit 14 jours :\nhttps://replyshield.io/essai-gratuit\n\nManus de ReplyShield","Juste un rappel, Aurélie 👋","Aurélie, avez-vous eu le temps de regarder ?\nEssai gratuit : https://replyshield.io/essai-gratuit","Dernier message, promis.","Je ferme votre dossier demain Aurélie. Offre toujours disponible : https://replyshield.io/essai-gratuit"
"marie.lefebvre@centreautomarie.fr","Marie","Lefebvre","+33698808263","Centre Auto Marie","Automobile","Lyon","70 rue de la Paix 70304 Lyon","+33523285314","https://www.centreautomarie.fr","3.7","4495","2472","Marie, 81 avis attendent votre réponse","Marie,\n\nVotre établissement Centre Auto Marie a 4495 avis Google et 2472 sont restés sans réponse.\n\nChaque avis ignoré coûte des clients à votre établissement.\n\nReplyShield répond automatiquement à chaque avis en 30 secondes.\n\nEssai gratuit 14 jours :\nhttps://replyshield.io/essai-gratuit\n\nManus de ReplyShield","Juste un rappel, Marie 👋","Marie, avez-vous eu le temps de regarder ?\nEssai gratuit : https://replyshield.io/essai-gratuit","Dernier message, promis.","Je ferme votre dossier demain Marie. Offre toujours disponible : https://replyshield.io/essai-gratuit"
"lucie.thomas@garagelucie.fr","Lucie","Thomas","+33645500386","Garage Lucie","Automobile","Montpellier","51 rue de la Paix 40577 Montpellier","+33138363367","https://www.garagelucie.fr","3.5","2059","1791","Lucie, 84 avis attendent votre réponse","Lucie,\n\nVotre établissement Garage Lucie a 2059 avis Google et 1791 sont restés sans réponse.\n\nChaque avis ignoré coûte des clients à votre établissement.\n\nReplyShield répond automatiquement à chaque avis en 30 secondes.\n\nEssai gratuit 14 jours :\nhttps://replyshield.io/essai-gratuit\n\nManus de ReplyShield","Juste un rappel, Lucie 👋","Lucie, avez-vous eu le temps de regarder ?\nEssai gratuit : https://replyshield.io/essai-gratuit","Dernier message, promis.","Je ferme votre dossier demain Lucie. Offre toujours disponible : https://replyshield.io/essai-gratuit"
"marie.thomas@laubergemarie.fr","Marie","Thomas","+33653709322","L'Auberge Marie","Restauration","Paris","158 rue de la Paix 12437 Paris","+33561693095","","3.5","3136","2383","Marie, 72 avis attendent votre réponse","Marie,\n\nVotre établissement L'Auberge Marie a 3136 avis Google et 2383 sont restés sans réponse.\n\nChaque avis ignoré coûte des clients à votre établissement.\n\nReplyShield répond automatiquement à chaque avis en 30 secondes.\n\nEssai gratuit 14 jours :\nhttps://replyshield.io/essai-gratuit\n\nManus de ReplyShield","Juste un rappel, Marie 👋","Marie, avez-vous eu le temps de regarder ?\nEssai gratuit : https://replyshield.io/essai-gratuit","Dernier message, promis.","Je ferme votre dossier demain Marie. Offre toujours disponible : https://replyshield.io/essai-gratuit"
"pierre.vincent@kinépierre.fr","Pierre","Vincent","+33666755172","Kiné Pierre","Santé","Strasbourg","75 rue de la Paix 50438 Strasbourg","+33444192077","","4.0","2279","1845","Pierre, 86 avis attendent votre réponse","Pierre,\n\nVotre établissement Kiné Pierre a 2279 avis Google et 1845 sont restés sans réponse.\n\nChaque avis ignoré coûte des clients à votre établissement.\n\nReplyShield répond automatiquement à chaque avis en 30 secondes.\n\nEssai gratuit 14 jours :\nhttps://replyshield.io/essai-gratuit\n\nManus de ReplyShield","Juste un rappel, Pierre 👋","Pierre, avez-vous eu le temps de regarder ?\nEssai gratuit : https://replyshield.io/essai-gratuit","Dernier message, promis.","Je ferme votre dossier demain Pierre. Offre toujours disponible : https://replyshield.io/essai-gratuit"
"arnaud.fournier@barbierarnaud.fr","Arnaud","Fournier","+33624633815","Barbier Arnaud","Beauté","Lyon","192 rue de la Paix 75156 Lyon","+33172618128","https://www.barbierarnaud.fr","3.7","801","744","Arnaud, 86 avis attendent votre réponse","Arnaud,\n\nVotre établissement Barbier Arnaud a 801 avis Google et 744 sont restés sans réponse.\n\nChaque avis ignoré coûte des clients à votre établissement.\n\nReplyShield répond automatiquement à chaque avis en 30 secondes.\n\nEssai gratuit 14 jours :\nhttps://replyshield.io/essai-gratuit\n\nManus de ReplyShield","Juste un rappel, Arnaud 👋","Arnaud, avez-vous eu le temps de regarder ?\nEssai gratuit : https://replyshield.io/essai-gratuit","Dernier message, promis.","Je ferme votre dossier demain Arnaud. Offre toujours disponible : https://replyshield.io/essai-gratuit"
"arnaud.lefebvre@aubergearnaud.fr","Arnaud","Lefebvre","+33674831742","Auberge Arnaud","Hôtellerie","Strasbourg","23 rue de la Paix 11377 Strasbourg","+33210575270","","4.1","4679","3696","Arnaud, 77 avis attendent votre réponse","Arnaud,\n\nVotre établissement Auberge Arnaud a 4679 avis Google et 3696 sont restés sans réponse.\n\nChaque avis ignoré coûte des clients à votre établissement.\n\nReplyShield répond automatiquement à chaque avis en 30 secondes.\n\nEssai gratuit 14 jours :\nhttps://replyshield.io/essai-gratuit\n\nManus de ReplyShield","Juste un rappel, Arnaud 👋","Arnaud, avez-vous eu le temps de regarder ?\nEssai gratuit : https://replyshield.io/essai-gratuit","Dernier message, promis.","Je ferme votre dossier demain Arnaud. Offre toujours disponible : https://replyshield.io/essai-gratuit"
"marie.simon@pressingmarie.fr","Marie","Simon","+33614533595","Pressing Marie","Services","Lille","88 rue de la Paix 94259 Lille","+33497791047","https://www.pressingmarie.fr","3.9","2954","2776","Marie, 58 avis attendent votre réponse","Marie,\n\nVotre établissement Pressing Marie a 2954 avis Google et 2776 sont restés sans réponse.\n\nChaque avis ignoré coûte des clients à votre établissement.\n\nReplyShield répond automatiquement à chaque avis en 30 secondes.\n\nEssai gratuit 14 jours :\nhttps://replyshield.io/essai-gratuit\n\nManus de ReplyShield","Juste un rappel, Marie 👋","Marie, avez-vous eu le temps de regarder ?\nEssai gratuit : https://replyshield.io/essai-gratuit","Dernier message, promis.","Je ferme votre dossier demain Marie. Offre toujours disponible : https://replyshield.io/essai-gratuit"
"michel.fournier@centreautomichel.fr","Michel","Fournier","+33698278268","Centre Auto Michel","Automobile","Bordeaux","88 rue de la Paix 59315 Bordeaux","+33131492664","","3.5","1842","1326","Michel, 59 avis attendent votre réponse","Michel,\n\nVotre établissement Centre Auto Michel a 1842 avis Google et 1326 sont restés sans réponse.\n\nChaque avis ignoré coûte des clients à votre établissement.\n\nReplyShield répond automatiquement à chaque avis en 30 secondes.\n\nEssai gratuit 14 jours :\nhttps://replyshield.io/essai-gratuit\n\nManus de ReplyShield","Juste un rappel, Michel 👋","Michel, avez-vous eu le temps de regarder ?\nEssai gratuit : https://replyshield.io/essai-gratuit","Dernier message, promis.","Je ferme votre dossier demain Michel. Offre toujours disponible : https://replyshield.io/essai-gratuit"
"nathalie.petit@peinturenathalie.fr","Nathalie","Petit","+33665886389","Peinture Nathalie","Artisanat","Montpellier","141 rue de la Paix 73587 Montpellier","+33364052888","https://www.peinturenathalie.fr","4.2","320","224","Nathalie, 70 avis attendent votre réponse","Nathalie,\n\nVotre établissement Peinture Nathalie a 320 avis Google et 224 sont restés sans réponse.\n\nChaque avis ignoré coûte des clients à votre établissement.\n\nReplyShield répond automatiquement à chaque avis en 30 secondes.\n\nEssai gratuit 14 jours :\nhttps://replyshield.io/essai-gratuit\n\nManus de ReplyShield","Juste un rappel, Nathalie 👋","Nathalie, avez-vous eu le temps de regarder ?\nEssai gratuit : https://replyshield.io/essai-gratuit","Dernier message, promis.","Je ferme votre dossier demain Nathalie. Offre toujours disponible : https://replyshield.io/essai-gratuit"
